lockitver|DO NOT DELETE THIS LINE! - Pferd % Schwert: Eine Deutschkorrektur - 28.06.2017 - Xyarvius 
itm_no_item|UNGÜLTIGER GEGENSTAND
itm_no_item_pl|UNGÜLTIGER GEGENSTAND
itm_tutorial_spear|Speer
itm_tutorial_spear_pl|Speere
itm_tutorial_club|Knüppel
itm_tutorial_club_pl|Knüppel
itm_tutorial_battle_axe|Kampfaxt
itm_tutorial_battle_axe_pl|Kampfäxte
itm_tutorial_arrows|Pfeile
itm_tutorial_arrows_pl|Pfeile
itm_tutorial_bolts|Armbrustbolzen
itm_tutorial_bolts_pl|Armbrustbolzen
itm_tutorial_short_bow|Kurzbogen
itm_tutorial_short_bow_pl|Kurzbögen
itm_tutorial_crossbow|Armbrust
itm_tutorial_crossbow_pl|Armbrüste
itm_tutorial_throwing_daggers|Wurfdolche
itm_tutorial_throwing_daggers_pl|Wurfdolche
itm_tutorial_saddle_horse|Reitpferd
itm_tutorial_saddle_horse_pl|Reitpferde
itm_tutorial_shield|Langspitzschild
itm_tutorial_shield_pl|Langspitzschilde
itm_tutorial_staff_no_attack|Stab
itm_tutorial_staff_no_attack_pl|Stäbe
itm_tutorial_staff|Stab
itm_tutorial_staff_pl|Stäbe
itm_tutorial_sword|Schwert
itm_tutorial_sword_pl|Schwerter
itm_tutorial_axe|Axt
itm_tutorial_axe_pl|Äxte
itm_tutorial_dagger|Dolch
itm_tutorial_dagger_pl|Dolche
itm_horse_meat|Pferdefleisch
itm_horse_meat_pl|Pferdefleisch
itm_practice_sword|Übungsschwert
itm_practice_sword_pl|Übungsschwerter
itm_heavy_practice_sword|Schweres Übungsschwert
itm_heavy_practice_sword_pl|Schweres Übungsschwerter
itm_practice_dagger|Übungsdolch
itm_practice_dagger_pl|Übungsdolche
itm_practice_axe|Übungsaxt
itm_practice_axe_pl|Übungsäxte
itm_arena_axe|Axt
itm_arena_axe_pl|Äxte
itm_arena_sword|Schwert
itm_arena_sword_pl|Schwerter
itm_arena_sword_two_handed|Bidenhänder
